ID_Pelanggan,Isi_Pesan,Label_Masalah
P-020,Lumayan normal a,Wifi Lemot
P-148,"Wilujeng enjing, kacepetan wifi turun drastis ti kamari sonten, euy, tolong dicek ya",Wifi Lemot
P-361,"A wifi abdi mati, naha pedah can bayar kitu? cek no pelanggan p-122",Belum Bayar Tagihan
P-716,"A tolong ganti password wifi, udah lemot gara gara banyak yang tau. euy.",Ganti Password
P-294,A cek dong wifi saya lemot banget padahal baru bayar tagihan,Wifi Lemot
P-569,"Min cek jaringan pusat, kok mati semua pelanggan di sini. mohon bantuannya,",Gangguan Pusat
P-017,Iyaaa lagi ada gangguan dulu🙏,Router Error
P-409,"kak wifi mati dari semalam, kyknya bapak belom bayar tagihan, tlong dicek ya",Belum Bayar Tagihan
P-678," punten min, tolong gantiin sandi wifi saya ya a.",Ganti Password
P-194,"Selamat pagi min, internet ngadadak pareum, lampu router beureum kabeh, hatur nuhun",Internet Mati (LOS)
P-548," euy. punten min, ada gangguan fiber optik pusat ya?",Gangguan Pusat
P-435,"Mangga, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, teuing, punten pisan",Belum Bayar Tagihan
P-092,"Punten, hatur nuhun upami dibantos ganti sandi wifi ayeuna, atuh, nuhun sateuacana",Ganti Password
P-516,"A router restart terus tiap 5 menit, kenapa ya?",Router Error
P-219,"Min, internet ngadadak pareum, lampu router beureum kabeh, teuing, mohon bantuannya",Internet Mati (LOS)
P-616,"Min wifi se-RW mati semua, tolong dicek gangguan pusat bukan. euy.",Gangguan Pusat
P-669," a, a tolong ganti password wifi, udah lemot gara gara banyak yang tau.",Ganti Password
P-612,"Min wifi mati total, denger denger lagi ada gangguan massal.",Gangguan Pusat
P-292,"Wilujeng sonten, router abdi mati sorangan, teu acan hurung deui ti tadi, weh, punten pisan",Router Error
P-677," tlong. min ganti password wifi saya dong, udah lama ga diganti.",Ganti Password
P-486,"A router bermasalah, sinyal wifinya ga nyampe kamar. kak,",Router Error
P-502," nuhun. a router error euy, harus dipancing restart baru konek lagi.",Router Error
P-018,Dari kmren sore. Ini jaringan nya jelek,Wifi Lemot
P-011,"Pagi, internet nya eror trus knpa yah, kadang lemot, kadang gk koneks tiba-tiba",Gangguan Pusat
P-660,"Punten min, minta tolong gantiin nama wifi saya jadi 'Wifi-Rumah'. tlong.",Ganti Password
P-826," punten min, wifi di rumah lambat banget buat anak sekolah.",Wifi Lemot
P-313,"Mohon maaf min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, weh, hatur nuhun",Ganti Password
P-477,"Min ini router merk ini emang sering error ya? Tolong ganti. mohon bantuannya,",Router Error
P-751,"Punten min, wifi lemot pisan buat download aja ga jalan. tolong ya,",Wifi Lemot
P-198,"Sim kuring bade tumaros, wifi na lemot pisan dianggo kerja ti bumi, euy, nuhun pisan",Wifi Lemot
P-434,min wifi terisolir ya gara2 telat bayar tagihan? mohon dibantu aktifin lagi,Belum Bayar Tagihan
P-334,"Kumaha carana nya, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, hatur nuhun",Internet Mati (LOS)
P-417,"min internet terisolir ya? maaf blm bayar tagihan kmrn, tlong dibantu ya",Belum Bayar Tagihan
P-047,Ok masih bang inpo nya,Gangguan Pusat
P-056,"Punten, kawentar aya perbaikan jaringan pusat ti isuk kénéh, teuing, mohon bantuannya",Gangguan Pusat
P-415,"Mohon maaf min, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, teuing, tolong secepatnya ya",Belum Bayar Tagihan
P-802," min, punten min, wifi di rumah ngelag buat buka sosmed aja lama.",Wifi Lemot
P-396,"Mohon maaf min, punten upami tos dibayar ayeuna, iraha deui hurungna, weh, hatur nuhun",Belum Bayar Tagihan
P-826,"Mohon maaf min, wifi kacida na lemot na, streaming putus-putus wae, pisan, hapunten ganggu",Wifi Lemot
P-014,Pak punten iye jaringan wifi t ayaan jdi t nyambung,Router Error
P-006,Assalamualikum Ka boleh minta tolong gantiin sandi wifi,Ganti Password
P-033,Assalamu'alaikum A punten ini jaringan wifi ko jdi jelek,Internet Mati (LOS)
P-871,"Punten min, internet mati lampu indikator merah (LOS) euy.",Internet Mati (LOS)
P-481," kak, min ini router baru dipasang kok udah error ya?",Router Error
P-066,Iyah pa mksh pa🙏🏻,Router Error
P-932," min, a tolong kirim teknisi, internet mati lampu merah nyala.",Internet Mati (LOS)
P-016,"Wifi parem
Jore ti isuk",Router Error
P-343,"Wilujeng enjing, punten bade robih password wifi, tiasa dibantos teu, pisan, mohon bantuannya",Ganti Password
P-742," kak, min mau ganti password wifi saya a, tolong bantuannya.",Ganti Password
P-672, tlong. min mau ganti nama wifi sama sandinya sekalian bisa?,Ganti Password
P-209,"Nuhun sateuacana, koneksi lelet euy, buka WA wae hese pisan, atuh, mohon bantuannya",Wifi Lemot
P-054,Telat info nya,Gangguan Pusat
P-777,"Min tolong cek kenapa wifi saya lemot banget hari ini a. min,",Wifi Lemot
P-561," tlong. punten min, server lagi down ya? tolong infonya.",Gangguan Pusat
P-715," kak, punten min, minta tolong gantiin nama wifi saya jadi 'wifi-rumah'.",Ganti Password
P-055,Trus gimna Ini Saya bayar sia² dong jlk Nya hampir seminggu,Internet Mati (LOS)
P-030,Aya lampu na kur  nyala satu.,Router Error
P-887," euy. a tolong bantu, internet mati lampu indikator merah terus.",Internet Mati (LOS)
P-183,Assalamualaikum a bisa bantu ganti nama wifi sama passwordnya sekalian? tolong dicek ya a,Ganti Password
P-833," kak, min kenapa wifi saya lemot banget ya padahal baru bayar?",Wifi Lemot
P-209,"Sim kuring bade tumaros, wifi kacida na lemot na, streaming putus-putus wae, geuning, nuhun pisan",Wifi Lemot
P-245,"Min, lampu router kedap-kedip teu wajar ti tadi wengi, atuh, mohon bantuannya",Router Error
P-842,"Kak, wifi lemot pisan ti tadi enjing, susah dianggo streaming, pisan, makasih sebelumnya",Wifi Lemot
P-257,"Selamat pagi min, router abdi mati sorangan, teu acan hurung deui ti tadi, geuning, punten pisan",Router Error
P-860," tolong ya, a tolong cek kabel, internet mati lampu indikator merah.",Internet Mati (LOS)
P-519,"A router di rumah error euy, tolong dibantu cek. tlong.",Router Error
P-762,"Wilujeng sonten, internet ngadat-ngadat terus ti tadi siang, hese pisan, teuing, ditunggu kabarnya",Wifi Lemot
P-734," tolong ya, min mau ganti nama wifi biar ga ketauan orang lain.",Ganti Password
P-700,"Selamat pagi min, punten bade robih password wifi, tiasa dibantos teu, teuing, nuhun sateuacana",Ganti Password
P-663," mohon bantuannya, punten min, cara ganti sandi wifi gimana ya?",Ganti Password
P-811," min, min kenapa ya wifi saya lambat banget kayak siput?",Wifi Lemot
P-314,"A internet ga jalan lampu los nyala merah, ada teknisi yg bisa ngecek? tolong dicek ya a",Internet Mati (LOS)
P-510,"Punten min, router error terus pas hujan gede. kak,",Router Error
P-125,"Mohon maaf min, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, euy, makasih sebelumnya",Internet Mati (LOS)
P-379,"halo kak, wifi di rumah gabisa internetan, kyknya blm bayar tagihan mggu kmrn",Belum Bayar Tagihan
P-913,"A tolong cek kabel, internet mati lampu indikator merah. euy.",Internet Mati (LOS)
P-717,"Punten, hatur nuhun upami dibantos ganti sandi wifi ayeuna, tolong secepatnya ya",Ganti Password
P-707,Min mau ganti nama wifi biar ga ketauan orang lain. tlong.,Ganti Password
P-151,Min kok hari ini jaringan lelet banget ya ga kaya biasa,Wifi Lemot
P-233,"Nuhun sateuacana, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, euy, ditunggu kabarnya",Ganti Password
P-204,"Wilujeng enjing, internet lemot teuing, main game jadi lag terus, atuh, tolong secepatnya ya",Wifi Lemot
P-655," min tolong ganti password wifi rumah, password barunya: admin123.",Ganti Password
P-434,"Permisi min, punten upami tos dibayar ayeuna, iraha deui hurungna, geuning, tolong secepatnya ya",Belum Bayar Tagihan
P-432,"Selamat pagi min, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, pisan, hapunten ganggu",Belum Bayar Tagihan
P-937," punten min, internet mati lampu indikator merah (los).",Internet Mati (LOS)
P-351,"Punten a, wifi mati euy, bisi can bayar tagihan bulan ayeuna tolong cek",Belum Bayar Tagihan
P-224,"Wilujeng enjing, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, yeuh, hatur nuhun",Ganti Password
P-143,"Punten a, bisa pang gantiin pass wifi teu? password baru nya rahasia123",Ganti Password
P-763,"Halo min, internet ngadat-ngadat terus ti tadi siang, hese pisan, teuing, hapunten ganggu",Wifi Lemot
P-250,"Sim kuring bade tumaros, wifi lemot pisan ti tadi enjing, susah dianggo streaming, weh, nuhun pisan",Wifi Lemot
P-550," tlong. punten min, info gangguan pusat dong, wifi mati nih.",Gangguan Pusat
P-743," min, a tolong ganti password wifi, udah lemot gara gara banyak yang tau.",Ganti Password
P-011,"Sim kuring bade tumaros, punten bade robih password wifi, tiasa dibantos teu, geuning, tolong secepatnya ya",Ganti Password
P-286,"Hapunten, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, teuing, ditunggu kabarnya",Internet Mati (LOS)
P-024,"Hoyong di ganti nama wifina tea pak jadi:
M sadam12
Sandinya : Sadam121223",Ganti Password
P-239,"Min, router sok mati sorangan ti tadi enjing, teu apal kunaon, pisan, nuhun pisan",Router Error
P-207,"Hapunten, koneksi lambat pisan, buka youtube kudu nunggu lila, pisan, ditunggu kabarnya",Wifi Lemot
P-369,"min wifi saya mati total, kyknya blm bayar bulanan deh, cara cek tagihannya gmn?",Belum Bayar Tagihan
P-067,Atos saurna tabuh 9 wengi nembe sae deui,Router Error
P-384,"kak wifi saya mati total, tolong cek apa karena belum bayar tagihan ya?",Belum Bayar Tagihan
P-310,"Mangga, router panas pisan, sinyal wifi jadi kaganggu, teuing, tolong secepatnya ya",Router Error
P-849," a, punten min, wifi mati total lampu pon merah kedip.",Internet Mati (LOS)
P-370,"A tulung cek, wifi mati, bilih acan bayar bulanan na. Nuhun",Belum Bayar Tagihan
P-425,"Kumaha carana nya, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, teuing, makasih sebelumnya",Belum Bayar Tagihan
P-027,"Kak, internet lemot teuing, main game jadi lag terus, atuh, tolong secepatnya ya",Wifi Lemot
P-789,"A tolong cek jaringan pusat, wifi di rumah lemot banget a. a,",Wifi Lemot
P-598," tolong ya, a cek jaringan dong, kayaknya lagi ada gangguan massal.",Gangguan Pusat
P-416,"kak wifi mati total, kyknya blm bayar tagihan bulanan, klo lunasin skrg gmn?",Belum Bayar Tagihan
P-654,"Punten, hatur nuhun upami dibantos ganti sandi wifi ayeuna, weh, tolong dicek ya",Ganti Password
P-126,"Halo min, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, atuh, tolong dibantu ya",Internet Mati (LOS)
P-791,"Min, koneksi lambat pisan, buka youtube kudu nunggu lila, euy, mohon bantuannya",Wifi Lemot
P-585, min ini internet sekomplek mati semua ya? gangguan pusat?,Gangguan Pusat
P-557,"Punten min, info gangguan pusat dong, wifi mati nih. tolong ya,",Gangguan Pusat
P-154,"Punten, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, pisan, makasih sebelumnya",Internet Mati (LOS)
P-434,"Nuhun sateuacana, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, euy, ditunggu kabarnya",Belum Bayar Tagihan
P-658,"Punten min, minta tolong gantiin nama wifi saya jadi 'Wifi-Rumah'. euy.",Ganti Password
P-147,"Punten, internet di rumah abdi mati total ti tadi enjing, nuhun pisan",Internet Mati (LOS)
P-831," euy. a internet lemot pisan, tolong dioptimasi ya a.",Wifi Lemot
P-867,"A tolong cek kabel kayaknya putus, lampu modem merah (LOS). min,",Gangguan Pusat
P-527,"Punten a, router di rumah bermasalah lampu wlan ga nyala. mohon bantuannya,",Router Error
P-500," min, tolong cek router saya, kayaknya kena petir semalam.",Router Error
P-858,"Punten min, wifi mati total, lampu pon merah kedip kedip. min,",Internet Mati (LOS)
P-691,"Min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, geuning, tolong secepatnya ya",Ganti Password
P-478,"A ini router kayaknya rusak, restart sendiri terus dari tadi pagi. tlong.",Router Error
P-371,"halo admin, internet putus, kayaknya ada tagihan yg belum lunas ya?",Belum Bayar Tagihan
P-048,Kakk ini kenapa ya wifi jringan nya jelek,Gangguan Pusat
P-487,"Punten a, router di rumah lampu alarmnya nyala terus. tlong.",Router Error
P-060,Ok pak hatur nuhun impormasi na,Gangguan Pusat
P-010,Ok siap pak dari kemaren nggk ada dinyal,Router Error
P-781," a, min internet di rumah lambat banget, tolong proses ya.",Wifi Lemot
P-042,Bos boleh ganti sandi waipi soalnya ngeleg banyak yang nyekn,Ganti Password
P-811,"Kumaha carana nya, koneksi lambat pisan, buka youtube kudu nunggu lila, geuning, nuhun pisan",Wifi Lemot
P-564," a, punten min, estimasi normal kapan ya? katanya gangguan pusat.",Gangguan Pusat
P-054,Harus nya sebelum nya di info kan supaya saya bisa ngisi kuota 🤦‍♀️,Gangguan Pusat
P-434,"Wilujeng enjing, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, weh, ditunggu kabarnya",Belum Bayar Tagihan
P-539,"Punten min, router panas banget trus mati sendiri, tolong cek. kak,",Router Error
P-884,"Punten min, internet mati lampu LOS nyala merah terus. tolong ya,",Internet Mati (LOS)
P-199,"Kak, jaringan hilang total, tos ti tadi isuk teu acan uih deui, teuing, tolong dicek ya",Internet Mati (LOS)
P-058,Pak kenapa jaringan nya gangguan terus ini ?? Udah si cabut colok lagi adaptor nya tetep aja kaya gini,Gangguan Pusat
P-029,Hpunten pisan bawel wifi teh jore ninh,Router Error
P-536," euy. a router saya error, ganti baru aja bisa ga?",Router Error
P-818," a, a naha wifi lemot kieu? padahal deket router.",Wifi Lemot
P-327,"Halo min, lampu LOS di modem hurung beureum ti wengi tadi, euy, tolong dibantu ya",Internet Mati (LOS)
P-928," min, punten min, wifi mati total lampu pon merah kedip a.",Internet Mati (LOS)
P-829, nuhun. a naha wifi lemot kieu? padahal kuota masih banyak.,Wifi Lemot
P-699," min, punten min, minta tolong gantiin sandi wifi saya.",Ganti Password
P-460,"A tolong cek router, kayaknya ada yang konslet di dalem. kak,",Router Error
P-103,"Wilujeng enjing, internet di rumah abdi mati total ti tadi enjing, teuing, hatur nuhun",Internet Mati (LOS)
P-393,kak kenapa internet saya diputus ya? apa gara2 belum bayar tagihan bulan ini?,Belum Bayar Tagihan
P-898," a, punten min, wifi mati total lampu pon merah kedip kedip euy.",Internet Mati (LOS)
P-649,"Selamat pagi min, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, euy, hatur nuhun",Ganti Password
P-770,"Min, wifi kacida na lemot na, streaming putus-putus wae, pisan, tolong secepatnya ya",Wifi Lemot
P-459,"Min cek jaringan, router di rumah error lampu merahnya kedip cepet. euy.",Router Error
P-687,"Mohon maaf min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, euy, hatur nuhun",Ganti Password
P-418,"A naha wifi mati ya? oh enya can bayar tagihan bulan ayeuna, hilap euy",Belum Bayar Tagihan
P-624,"A server lagi down ya? Dari tadi pagi ga bisa konek. a,",Gangguan Pusat
P-010,"assalamualaikum pak ko wf elor terus yah
Sering elor pak pemakean jadi tidak puas ampir tiap hari gimna ini",Router Error
P-874,"Punten min, wifi mati total lampu pon merah kedip a. euy.",Internet Mati (LOS)
P-799,Min naha wifi lemot pisan hari ini? Dipake youtube muter terus. euy.,Wifi Lemot
P-754,A naha wifi lemot kieu? Tolong dioptimasi a. euy.,Wifi Lemot
P-299,"Mohon maaf min, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, atuh, punten pisan",Ganti Password
P-233,"Punten, hoyong ganti nami sareng sandi wifi bumi, weh, tolong secepatnya ya",Ganti Password
P-226,"Wilujeng enjing, hatur nuhun upami dibantos ganti sandi wifi ayeuna, euy, ditunggu kabarnya",Ganti Password
P-031,Ini gmna WiFi,Internet Mati (LOS)
P-905,"Min lampu LOS merah kedip kedip dari tadi siang. mohon bantuannya,",Internet Mati (LOS)
P-530," tolong ya, min, tolong cek router saya, kayaknya kena petir semalam.",Router Error
P-054,"Giliran nggak mati lampu,wifi error 🤦‍♀️mau cek mbanking aja susah 🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️🤦‍♀️",Gangguan Pusat
P-062,"jaringan na jelek pak
ouh nya pak",Gangguan Pusat
P-234,"Wilujeng sonten, router panas pisan, sinyal wifi jadi kaganggu, yeuh, hapunten ganggu",Router Error
P-058,"Ada gangguan apa gimana?
Pak gimana?",Gangguan Pusat
P-458,"A router bermasalah, sinyal wifinya ga nyampe kamar. euy.",Router Error
P-158,"Permisi min, router sok mati sorangan ti tadi enjing, teu apal kunaon, atuh, tolong dicek ya",Router Error
P-174,"Wilujeng sonten, bade ganti password wifi kusabab loba anu konek teu wios, teuing, tolong dicek ya",Ganti Password
P-030,oh nya a kin MH PMI kdieu ngontrol hyong di pindah k lebetkeun soal na susah cabut colok na luhur di luar.,Router Error
P-394,"min wifi dirumah mati, keknya nunggak bayar tagihan deh, tolong cek dong",Belum Bayar Tagihan
P-887,"Hapunten, jaringan hilang total, tos ti tadi isuk teu acan uih deui, geuning, mohon bantuannya",Internet Mati (LOS)
P-248,Min tolong resetin password wifi ya saya lupa passwordnya,Ganti Password
P-218,"Halo min, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, weh, mohon bantuannya",Internet Mati (LOS)
P-189,"Mangga, koneksi wifi euweuh pisan ti tadi siang, teu acan uih, yeuh, tolong dicek ya",Internet Mati (LOS)
P-489,"A wifi mati, router jiga na mah error euy tolong.",Router Error
P-072,Ini jaringan wifi gimana dari sore lemot,Gangguan Pusat
P-054,"Assalamualaikum pak,wifi error ya",Router Error
P-893,"A tolong cek kabel kayaknya putus, lampu modem merah (LOS). a,",Gangguan Pusat
P-005,Udahh dii cobaa A dua kalii..,Router Error
P-005,"Asalamualaikum, a masih gangguan ning wifi teh",Router Error
P-367,"mas internet mati nih, gara2 blm bayar tagihan ya? klo skrg dibayar langsung aktif?",Belum Bayar Tagihan
P-622, tlong. a naha internet down kabeh? server pusat lagi bermasalah?,Gangguan Pusat
P-783," euy. punten min, wifi di rumah lambat banget buat upload tugas.",Wifi Lemot
P-362,"assalamualaikum min, internet di rumah mati, kyknya blm bayar tagihan deh",Belum Bayar Tagihan
P-004,jaringan wipinya lemot,Wifi Lemot
P-474,"Min cek jaringan, router di rumah error lampu merahnya kedip cepet. a,",Router Error
P-916," tolong ya, punten min, internet mati lampu indikator merah (los).",Internet Mati (LOS)
P-349,"halo min, internet saya diisolir ya gara2 telat bayar?",Belum Bayar Tagihan
P-388,"internet mati tiba2 kak, apa karena telat bayar bulanan?",Belum Bayar Tagihan
P-062,"assalamualaikum pa wifi teaya jaringan
atas nama {Nama Pelanggan}",Router Error
P-311,"Halo min, internet mati total sakomplek, lampu indikator beureum sadayana, pisan, hapunten ganggu",Internet Mati (LOS)
P-839,"Min internet di rumah lambat banget, mohon bantuannya. a,",Wifi Lemot
P-391,"Wilujeng sonten, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, weh, punten pisan",Belum Bayar Tagihan
P-388,"Wilujeng sonten, punten upami tos dibayar ayeuna, iraha deui hurungna, weh, tolong dicek ya",Belum Bayar Tagihan
P-396,"Wilujeng enjing, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, euy, nuhun sateuacana",Belum Bayar Tagihan
P-077,"Permisi min, lampu indikator router beureum tapi kabel na sae wae, euy, nuhun sateuacana",Router Error
P-473,"A wifi bermasalah, pas dicek router indikator los padahal kabel oke. kak,",Router Error
P-860,"Nuhun sateuacana, internet di rumah abdi mati total ti tadi enjing, teuing, mohon bantuannya",Internet Mati (LOS)
P-729,"Selamat pagi min, hatur nuhun upami dibantos ganti sandi wifi ayeuna, punten pisan",Ganti Password
P-202,"Punten, bade ganti password wifi kusabab loba anu konek teu wios, pisan, ditunggu kabarnya",Ganti Password
P-625,A naha internet down kabeh? Server pusat lagi bermasalah? nuhun.,Gangguan Pusat
P-431,"kak wifi saya mati, pas dicek tnyata belom bayar tagihan bulan kmrn, tlong di cek",Belum Bayar Tagihan
P-452," tlong. router error mas, lampu pon nyala merah tapi bukan kabel putus.",Router Error
P-854," tolong ya, a tolong kirim teknisi segera, internet mati lampu merah nyala.",Internet Mati (LOS)
P-067,Punten jaringan wifi dr semalam error pak .. Koneksi terbatas,Router Error
P-673," a, min mau ganti nama wifi sama sandinya sekalian bisa?",Ganti Password
P-914," tolong ya, min lampu los merah kedip kedip dari tadi siang.",Internet Mati (LOS)
P-606,"Min, kacida na gangguan na, jaringan mati ti tadi enjing sakomplek, euy, tolong dibantu ya",Gangguan Pusat
P-597," mohon bantuannya, punten min, ini lagi ada perbaikan kabel pusat ya?",Gangguan Pusat
P-732," nuhun. punten min, ganti password wifi rumah saya dong.",Ganti Password
P-586,"A naha internet down pisan hari ini? Ada gangguan pusat ya? a,",Gangguan Pusat
P-005,A gimana ini teh masih eror nya wifi nya,Router Error
P-381,"Punten, internet pareum, ari dicek sigana tunggakan tagihan acan lunas, makasih sebelumnya",Belum Bayar Tagihan
P-360,"min ini internet kok ga jalan, apa gara2 nunggak sebulan ya?",Belum Bayar Tagihan
P-684,"A tolong ganti nama wifi saya jadi 'Rumah-Kami'. tolong ya,",Ganti Password
P-634,A jaringan lagi bermasalah ya dari pusatnya? nuhun.,Gangguan Pusat
P-936," min lampu indikator los merah kedip kedip, internet mati total.",Internet Mati (LOS)
P-577," a, min wifi mati sekelurahan, ada gangguan apa dari pusat?",Gangguan Pusat
P-385,"admin internet rumah mati, kyknya bapak blm bayar tagihan bulan ini, tlong dicek",Belum Bayar Tagihan
P-403,A naha wifi abdi mati total? oh iya can bayar tagihan bulan ayeuna gening,Belum Bayar Tagihan
P-362,"Kumaha carana nya, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, ditunggu kabarnya",Belum Bayar Tagihan
P-200,"Mangga, abdi hilap sandi wifi, bade dirobih deui tiasa henteu, geuning, punten pisan",Ganti Password
P-708,"Nuhun sateuacana, punten bade robih password wifi, tiasa dibantos teu, teuing, tolong dicek ya",Ganti Password
P-332,"Hapunten, lampu indikator router beureum tapi kabel na sae wae, yeuh, makasih sebelumnya",Router Error
P-775,"Min internet di rumah lambat banget, tolong direset ya. a,",Wifi Lemot
P-119,"Kumaha carana nya, internet ngadat-ngadat terus ti tadi siang, hese pisan, yeuh, tolong secepatnya ya",Wifi Lemot
P-005,Kalau lemot saya juga teloransi a inimah sama sekali engga ada jaringan wifi na,Router Error
P-769,"Min kenapa ya wifi saya lemot banget pas hujan? a,",Wifi Lemot
P-060,Assalamualaikum kunaon wifi Abi te tiasa kan TOS d Taur,Gangguan Pusat
P-026,A ini kenapa ya ko jaringanya tidak ada akses internet,Router Error
P-358,"halo kak, wifi saya mati nih, apa kena blokir karena telat bayar?",Belum Bayar Tagihan
P-846,"Min kabel kayaknya putus nih, lampu LOS merah terus. a,",Gangguan Pusat
P-102,"Halo min, punten bade robih password wifi, tiasa dibantos teu, pisan, nuhun pisan",Ganti Password
P-375,"Permisi min, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, weh, mohon bantuannya",Belum Bayar Tagihan
P-063,Wifi Ning teu ayaan,Router Error
P-816, tlong. min kenapa ya wifi saya lemot banget pas hujan?,Wifi Lemot
P-383,A naha internet mati ya? oh enya can bayar tagihan bulanan aduh,Belum Bayar Tagihan
P-657,"Permisi min, hoyong ganti nami sareng sandi wifi bumi, yeuh, tolong secepatnya ya",Ganti Password
P-762,"Sim kuring bade tumaros, wifi kacida na lemot na, streaming putus-putus wae, yeuh, tolong dibantu ya",Wifi Lemot
P-058,Assalamualaikum pak wifi saya eror,Gangguan Pusat
P-414,"kak wifi di rumah mati, kyknya belom bayar tagihan mggu lalu, gmn cara aktifinnya?",Belum Bayar Tagihan
P-043,Tapi msih wifi lama,Ganti Password
P-290,"Punten, aya tihang kabel ambruk, jaringan sadayana kapangaruhan, weh, hatur nuhun",Gangguan Pusat
P-054,"Pak,wifi error ya,atas nama src {Nama Pelanggan}",Router Error
P-408,"Hapunten, abdi hilap can mayar tagihan, éta nu nyababkeun internet pareum, weh, hatur nuhun",Belum Bayar Tagihan
P-236,"Nuhun sateuacana, punten bade robih password wifi, tiasa dibantos teu, geuning, nuhun sateuacana",Ganti Password
P-168,"Sim kuring bade tumaros, router abdi mati sorangan, teu acan hurung deui ti tadi, teuing, tolong dicek ya",Router Error
P-645,A naha internet mati se-RW? Gangguan pusat nya a?,Gangguan Pusat
P-562," mohon bantuannya, punten min, internet lagi down ya se-bandung?",Gangguan Pusat
P-222,"Punten, wifi teu tiasa dianggo sama sakali ti isuk kénéh, teuing, makasih sebelumnya",Internet Mati (LOS)
P-018,Permisi min kenapa ini gak di betul2 kan.,Wifi Lemot
P-419,"kak wifi saya mati, pas dicek tnyata blm bayar tagihan bulan kmrn, tlong cek",Belum Bayar Tagihan
P-520," kak, punten min, router error terus pas hujan gede.",Router Error
P-385,"Mangga, punten upami tos dibayar ayeuna, iraha deui hurungna, weh, nuhun pisan",Belum Bayar Tagihan
P-054,"Pak,maaf tolong dijawab",Router Error
P-213,"Min, modem euweuh sinyal, tulisan na LOS beureum wae ti tadi, ditunggu kabarnya",Internet Mati (LOS)
P-165,Min aya gangguan pusat teu? Ieu muter wae dari tadi,Gangguan Pusat
P-398,"Wilujeng enjing, wifi mati, sigana kusabab tagihan bulan kamari acan dibayar, yeuh, punten pisan",Belum Bayar Tagihan
P-809,"Hapunten, internet lemot teuing, main game jadi lag terus, yeuh, nuhun sateuacana",Wifi Lemot
P-033,Lagi ada gangguan jaringan ya?,Internet Mati (LOS)
P-929,"Mohon maaf min, wifi mati babarengan sakomplek, sigana aya gangguan di jaringan pusat, tolong dicek ya",Gangguan Pusat
P-032,Kok msih jlk,Gangguan Pusat
P-254,"Permisi min, koneksi lelet euy, buka WA wae hese pisan, yeuh, nuhun sateuacana",Wifi Lemot
P-376,"Wilujeng enjing, punten upami tos dibayar ayeuna, iraha deui hurungna, yeuh, ditunggu kabarnya",Belum Bayar Tagihan
P-139,"Kak, internet ngadat-ngadat terus ti tadi siang, hese pisan, atuh, hapunten ganggu",Wifi Lemot
P-896,"Min kabel kayaknya putus, lampu LOS merah terus a. kak,",Gangguan Pusat
P-030,a wifi teh jlek wae.,Router Error
P-242,"Selamat pagi min, router abdi mati sorangan, teu acan hurung deui ti tadi, weh, punten pisan",Router Error
P-755,"Wilujeng enjing, koneksi lambat pisan, buka youtube kudu nunggu lila, weh, makasih sebelumnya",Wifi Lemot
P-079,"Kak, internet ngadat-ngadat terus ti tadi siang, hese pisan, atuh, nuhun pisan",Wifi Lemot
P-044,"Mlm kak knp wifi ini jaringan nya jelek,, kadang terhubung kadang kaga ada internet",Router Error
P-897," min kabel fiber di luar putus kena dahan pohon, lampu los merah.",Gangguan Pusat
P-405,"min wifi mati nih, apa gara gara nunggak tagihan bulanan ya? cek dong",Belum Bayar Tagihan
P-069,"Wilujeng enjing, abdi bade ganti kecap sandi wifi supados teu aya anu nunut deui, teuing, hatur nuhun",Ganti Password
P-865,"Sim kuring bade tumaros, internet ngadadak pareum, lampu router beureum kabeh, teuing, nuhun sateuacana",Internet Mati (LOS)
P-748,"Wilujeng sonten, koneksi lelet euy, buka WA wae hese pisan, geuning, tolong dibantu ya",Wifi Lemot
P-596,"Punten min, lagi ada gangguan di server pusat ya? kak,",Gangguan Pusat
P-195,"Punten, lampu LOS di modem hurung beureum ti wengi tadi, yeuh, mohon bantuannya",Internet Mati (LOS)
P-065,a punten ie th kmha wifi th asa sering gangguan kiye,Gangguan Pusat
